OBJECTID,Report Number,Report Date,Offense Start Date,Offense End Date,Day of the week,Day Number,Zone,Beat,Location,Location Type,NIBRS Code,NIBRS Code Name,Crime Against,Was a firearm involved?,Press Release,Social Media,Watch,Longitude,Latitude,Neighborhood,NPU,Council District,UCR Grouping,Victim Count,GlobalID,x,y
70852,222821286,10/9/2022 10:43:21 PM,10/9/2022 9:19:00 PM,10/9/2022 10:00:00 PM,Sunday,1,1,102,893 MAGNOLIA ST NW,Residence/ Home / Apartment / Condo,13C,Intimidation,PERSON,N,,,Evening Watch,-84.416698,33.758455,Vine City,L,3,Part II,1,a3b91a81-b485-4d48-9449-e7286f16d475,-84.4166979999999,33.758455
70853,222821309,10/9/2022 11:21:19 PM,10/9/2022 10:00:00 AM,10/9/2022 11:21:00 PM,Sunday,1,4,414,3390 FAIRBURN RD SW,Parking/ Drop Lot/ Garage,23F,Theft From Motor Vehicle,PROPERTY,N,,,Day Watch,-84.52356,33.660904,Ben Hill,P,11,Part I,1,8cf787ed-96bc-44a6-a599-288d06af18ff,-84.52356,33.6609040000001
70854,222821346,10/10/2022 2:10:07 AM,10/9/2022 9:25:00 PM,10/9/2022 10:30:00 PM,Sunday,1,3,302,765 MCDANIEL ST SW,Residence/ Home / Apartment / Condo,240,Motor Vehicle Theft,PROPERTY,N,,,Evening Watch,-84.401792,33.73333,Pittsburgh,V,12,Part I,1,e38a87d0-843c-4ad9-b67a-9d458f0a8e70,-84.4017919999999,33.73333
70855,222821396,10/10/2022 4:57:04 AM,10/9/2022 10:23:00 PM,10/9/2022 11:30:00 PM,Sunday,1,4,414,3162 BELFOUR LN SW,Residence/ Home / Apartment / Condo,23H,All Other Larceny,PROPERTY,N,,,Evening Watch,-84.509797,33.666017,Princeton Lakes,P,11,Part I,1,2c824756-f9e5-4df1-8031-79a3040f55d2,-84.5097969999999,33.6660170000001
70856,222821509,10/10/2022 12:18:01 AM,10/9/2022 11:36:00 PM,10/10/2022 12:18:00 AM,Sunday,1,1,102,812 MAGNOLIA WAY NW,Residence/ Home / Apartment / Condo,290,Destruction/Damage/Vandalism of Property,PROPERTY,N,,,Evening Watch,-84.414282,33.75802,Vine City,L,3,Part II,1,7bcd3f34-000e-45ec-9485-dffbd6eb62f5,-84.414282,33.75802
70857,222821523,10/10/2022 1:48:14 AM,10/9/2022 11:47:00 PM,10/10/2022 1:52:00 AM,Sunday,1,5,507,419 WHITEHALL ST SW,Highway/ Road/ Alley/ Street/ Sidewalk,13A,Aggravated Assault,PERSON,Y,,,Evening Watch,-84.401914,33.745004,Castleberry Hill,M,4,Part I,1,e44ec9a1-3cfa-4141-8b3a-f33da8e57a73,-84.401914,33.7450040000001
70858,222821583,10/10/2022 2:40:27 AM,10/10/2022 12:35:00 AM,10/10/2022 12:35:00 AM,Sunday,1,6,612,470 FLAT SHOALS AVE SE,Parking/ Drop Lot/ Garage,23F,Theft From Motor Vehicle,PROPERTY,N,,,Evening Watch,-84.346225,33.74128,East Atlanta,W,5,Part I,1,fc7157d2-09a7-47bc-a0a0-5aa2cd528844,-84.3462249999999,33.7412800000001
70859,222821714,10/10/2022 6:09:17 AM,10/9/2022 11:00:00 PM,10/10/2022 4:15:00 AM,Sunday,1,6,612,1245 GLENWOOD AVE SE,Parking/ Drop Lot/ Garage,23F,Theft From Motor Vehicle,PROPERTY,N,,,Evening Watch,-84.346679,33.740001,East Atlanta,W,5,Part I,2,9a511c79-f1cf-4505-acef-27fc32ca455c,-84.3466789999999,33.7400010000001
70860,222821822,10/10/2022 7:27:32 AM,10/10/2022 3:39:00 AM,10/10/2022 8:40:00 AM,Sunday,1,3,313,925 CONLEY RD SE,Residence/ Home / Apartment / Condo,13A,Aggravated Assault,PERSON,N,,,Morning Watch,-84.359928,33.649844,South River Gardens,Z,12,Part I,1,4754ed6e-90eb-465f-984e-c9e1ba407d6e,-84.359928,33.649844
70861,222830162,10/10/2022 8:22:11 AM,10/10/2022 6:06:00 AM,10/10/2022 8:00:00 AM,Monday,2,6,613,1510 PIEDMONT AVE NE,Commercial/ Office Building,13A,Aggravated Assault,PERSON,N,,,Morning Watch,-84.370898,33.796571,Piedmont Heights,F,6,Part I,2,04d13b2e-1a57-44fa-8d8f-e77bcd286761,-84.370898,33.796571
